codigo municipio,id_provincia,nombre,slug,provincia,ccaa,lon,lat
2075,2,Valdeganga,valdeganga,Albacete,Castilla-La Mancha,-1.6772838,39.1358432,
2076,2,Vianos,vianos,Albacete,Castilla-La Mancha,-2.5006105,38.6322581,
2077,2,Villa de Ves,villa-de-ves,Albacete,Castilla-La Mancha,-1.2593206,39.2226519,
2078,2,Villalgordo del Júcar,villalgordo-del-jucar,Albacete,Castilla-La Mancha,-2.0630828,39.2966416,
2079,2,Villamalea,villamalea,Albacete,Castilla-La Mancha,-1.5971834,39.3628674,
2080,2,Villapalacios,villapalacios,Albacete,Castilla-La Mancha,-2.6331952,38.5756136,
2081,2,Villarrobledo,villarrobledo,Albacete,Castilla-La Mancha,-2.6015635,39.2683154,
2082,2,Villatoya,villatoya,Albacete,Castilla-La Mancha,-1.3390901,39.3330544,
2083,2,Villavaliente,villavaliente,Albacete,Castilla-La Mancha,-1.4573653,39.1264319,
2084,2,Villaverde de Guadalimar,villaverde-de-guadalimar,Albacete,Castilla-La Mancha,-2.5183567,38.4563278,
2085,2,Viveros,viveros,Albacete,Castilla-La Mancha,-2.57553,38.7726567,
2086,2,Yeste,yeste,Albacete,Castilla-La Mancha,-2.321546,38.3654376,
3001,3,Adsubia,adsubia,Alicante/Alacant,Comunidad Valenciana,-0.1508715,38.8472312,
3002,3,Agost,agost,Alicante/Alacant,Comunidad Valenciana,-0.6381854,38.4372517,
3003,3,Agres,agres,Alicante/Alacant,Comunidad Valenciana,-0.5157406,38.7808327,
3004,3,Aigües,aigues,Alicante/Alacant,Comunidad Valenciana,-0.3636553,38.5008544,
3005,3,Albatera,albatera,Alicante/Alacant,Comunidad Valenciana,-0.8710884,38.1801605,
3006,3,Alcalalí,alcalali,Alicante/Alacant,Comunidad Valenciana,-0.0393963,38.7497921,
3007,3,Alcocer de Planes,alcocer-de-planes,Alicante/Alacant,Comunidad Valenciana,-0.4033885,38.7953339,
3008,3,Alcoleja,alcoleja,Alicante/Alacant,Comunidad Valenciana,-0.3316038,38.6751226,
3009,3,Alcoy/Alcoi,alcoy-alcoi,Alicante/Alacant,Comunidad Valenciana,-0.4810937,38.6987066,
3010,3,Alfafara,alfafara,Alicante/Alacant,Comunidad Valenciana,-0.5547402,38.7741137,
3011,3,"Alfàs del Pi, l'",alfas-del-pi-l,Alicante/Alacant,Comunidad Valenciana,-0.099664,38.578552,
3012,3,Algorfa,algorfa,Alicante/Alacant,Comunidad Valenciana,-0.7966752,38.0849165,
3013,3,Algueña,alguena,Alicante/Alacant,Comunidad Valenciana,-1.0023857,38.3399666,
3014,3,Alicante/Alacant,alicante-alacant,Alicante/Alacant,Comunidad Valenciana,-0.4906855,38.3459963,
3015,3,Almoradí,almoradi,Alicante/Alacant,Comunidad Valenciana,-0.7937015,38.1107088,
3016,3,Almudaina,almudaina,Alicante/Alacant,Comunidad Valenciana,-0.3539489,38.7608255,
3017,3,"Alqueria d'Asnar, l'",alqueria-d-asnar-l,Alicante/Alacant,Comunidad Valenciana,-0.4260691,38.7733431,
3018,3,Altea,altea,Alicante/Alacant,Comunidad Valenciana,-0.0450666,38.6029075,
3019,3,Aspe,aspe,Alicante/Alacant,Comunidad Valenciana,-0.7704126,38.3435941,
3020,3,Balones,balones,Alicante/Alacant,Comunidad Valenciana,-0.3433628,38.7366438,
3021,3,Banyeres de Mariola,banyeres-de-mariola,Alicante/Alacant,Comunidad Valenciana,-0.6595184,38.7153272,
3022,3,Benasau,benasau,Alicante/Alacant,Comunidad Valenciana,-0.3436568,38.6898271,
3023,3,Beneixama,beneixama,Alicante/Alacant,Comunidad Valenciana,-0.7663538,38.7015826,
3024,3,Benejúzar,benejuzar,Alicante/Alacant,Comunidad Valenciana,-0.8387837,38.0772082,
3025,3,Benferri,benferri,Alicante/Alacant,Comunidad Valenciana,-0.961758,38.1424851,
3026,3,Beniarbeig,beniarbeig,Alicante/Alacant,Comunidad Valenciana,-0.0034972,38.8218528,
3027,3,Beniardá,beniarda,Alicante/Alacant,Comunidad Valenciana,-0.2163278,38.6834097,
3028,3,Beniarrés,beniarres,Alicante/Alacant,Comunidad Valenciana,-0.3789552,38.820587,
3030,3,Benidoleig,benidoleig,Alicante/Alacant,Comunidad Valenciana,-0.0297365,38.7924268,
3031,3,Benidorm,benidorm,Alicante/Alacant,Comunidad Valenciana,-0.1224937,38.5410566,
3032,3,Benifallim,benifallim,Alicante/Alacant,Comunidad Valenciana,-0.399855,38.662461,
3033,3,Benifato,benifato,Alicante/Alacant,Comunidad Valenciana,-0.2288633,38.6734023,
3029,3,Benigembla,benigembla,Alicante/Alacant,Comunidad Valenciana,-0.1087987,38.7549275,
3034,3,Benijófar,benijofar,Alicante/Alacant,Comunidad Valenciana,-0.7378367,38.0780282,
3035,3,Benilloba,benilloba,Alicante/Alacant,Comunidad Valenciana,-0.3883735,38.7001669,
3036,3,Benillup,benillup,Alicante/Alacant,Comunidad Valenciana,-0.3786609,38.7535508,
3037,3,Benimantell,benimantell,Alicante/Alacant,Comunidad Valenciana,-0.2099271,38.6765084,
3038,3,Benimarfull,benimarfull,Alicante/Alacant,Comunidad Valenciana,-0.3919059,38.7760788,
3039,3,Benimassot,benimassot,Alicante/Alacant,Comunidad Valenciana,-0.2916496,38.7492186,
3040,3,Benimeli,benimeli,Alicante/Alacant,Comunidad Valenciana,-0.0414042,38.8224992,
3041,3,Benissa,benissa,Alicante/Alacant,Comunidad Valenciana,0.0524919,38.7145489,
3042,3,"Benitachell/Poble Nou de Benitatxell, el",benitachell-poble-nou-de-benitatxell-el,Alicante/Alacant,Comunidad Valenciana,0.1435672,38.7313014,
3043,3,Biar,biar,Alicante/Alacant,Comunidad Valenciana,-0.7663538,38.6308202,
3044,3,Bigastro,bigastro,Alicante/Alacant,Comunidad Valenciana,-0.8939596,38.0638947,
3045,3,Bolulla,bolulla,Alicante/Alacant,Comunidad Valenciana,-0.1117773,38.6761927,
3046,3,Busot,busot,Alicante/Alacant,Comunidad Valenciana,-0.4178201,38.4835931,
3049,3,Callosa de Segura,callosa-de-segura,Alicante/Alacant,Comunidad Valenciana,-0.8732975,38.1269393,
3048,3,Callosa d'en Sarrià,callosa-d-en-sarria,Alicante/Alacant,Comunidad Valenciana,-0.1216181,38.6507684,
3047,3,Calp,calp,Alicante/Alacant,Comunidad Valenciana,0.0456876,38.6436469,
3050,3,"Campello, el",campello-el,Alicante/Alacant,Comunidad Valenciana,-0.5010202,38.3626755,
3051,3,"Campo de Mirra/Camp de Mirra, el",campo-de-mirra-camp-de-mirra-el,Alicante/Alacant,Comunidad Valenciana,-0.7788363,38.6877471,
3052,3,Cañada,canada,Alicante/Alacant,Comunidad Valenciana,-0.8121419,38.6744204,
3053,3,Castalla,castalla,Alicante/Alacant,Comunidad Valenciana,-0.6725355,38.5934127,
3054,3,Castell de Castells,castell-de-castells,Alicante/Alacant,Comunidad Valenciana,-0.194579,38.7255294,
3075,3,"Castell de Guadalest, el",castell-de-guadalest-el,Alicante/Alacant,Comunidad Valenciana,-0.19489,38.67431,
3055,3,Catral,catral,Alicante/Alacant,Comunidad Valenciana,-0.8003795,38.159791,
3056,3,Cocentaina,cocentaina,Alicante/Alacant,Comunidad Valenciana,-0.4396248,38.7451583,
3057,3,Confrides,confrides,Alicante/Alacant,Comunidad Valenciana,-0.2693401,38.6837983,
3058,3,Cox,cox,Alicante/Alacant,Comunidad Valenciana,-0.89016,38.1430472,
3059,3,Crevillent,crevillent,Alicante/Alacant,Comunidad Valenciana,-0.8113636,38.2446844,
3061,3,Daya Nueva,daya-nueva,Alicante/Alacant,Comunidad Valenciana,-0.7598168,38.1142353,
3062,3,Daya Vieja,daya-vieja,Alicante/Alacant,Comunidad Valenciana,-0.7357581,38.1041466,
3063,3,Dénia,denia,Alicante/Alacant,Comunidad Valenciana,0.1050557,38.8387992,
3064,3,Dolores,dolores,Alicante/Alacant,Comunidad Valenciana,-0.7698073,38.138686,
3065,3,Elche/Elx,elche-elx,Alicante/Alacant,Comunidad Valenciana,-0.7125608,38.2699329,
3066,3,Elda,elda,Alicante/Alacant,Comunidad Valenciana,-0.7964597,38.4765073,
3067,3,Facheca,facheca,Alicante/Alacant,Comunidad Valenciana,-0.2681663,38.734876,
3068,3,Famorca,famorca,Alicante/Alacant,Comunidad Valenciana,-0.2464567,38.7316508,
3069,3,Finestrat,finestrat,Alicante/Alacant,Comunidad Valenciana,-0.2125435,38.5677498,
3077,3,"Fondó de les Neus, el/Hondón de las Nieves",fondo-de-les-neus-el-hondon-de-las-nieves,Alicante/Alacant,Comunidad Valenciana,-0.8525868,38.3083971,
3070,3,Formentera del Segura,formentera-del-segura,Alicante/Alacant,Comunidad Valenciana,-0.7455581,38.0852505,
3072,3,Gaianes,gaianes,Alicante/Alacant,Comunidad Valenciana,-0.4095728,38.8126395,
3071,3,Gata de Gorgos,gata-de-gorgos,Alicante/Alacant,Comunidad Valenciana,0.0802247,38.774555,
3073,3,Gorga,gorga,Alicante/Alacant,Comunidad Valenciana,-0.3565959,38.7199117,
3074,3,Granja de Rocamora,granja-de-rocamora,Alicante/Alacant,Comunidad Valenciana,-0.8909136,38.1525136,
3076,3,Guardamar del Segura,guardamar-del-segura,Alicante/Alacant,Comunidad Valenciana,-0.6512823,38.0851461,
3078,3,Hondón de los Frailes,hondon-de-los-frailes,Alicante/Alacant,Comunidad Valenciana,-0.9289267,38.2740345,
3079,3,Ibi,ibi,Alicante/Alacant,Comunidad Valenciana,-0.5754373,38.6227319,
3080,3,Jacarilla,jacarilla,Alicante/Alacant,Comunidad Valenciana,-0.8663219,38.0612886,
3082,3,Jávea/Xàbia,javea-xabia,Alicante/Alacant,Comunidad Valenciana,0.1660813,38.7890109,
3083,3,Jijona/Xixona,jijona-xixona,Alicante/Alacant,Comunidad Valenciana,-0.506292,38.5410412,
3085,3,Llíber,lliber,Alicante/Alacant,Comunidad Valenciana,0.0064118,38.7427091,
3084,3,"Lorcha/Orxa, l'",lorcha-orxa-l,Alicante/Alacant,Comunidad Valenciana,-0.3107403,38.8443159,
3086,3,Millena,millena,Alicante/Alacant,Comunidad Valenciana,-0.3621845,38.7313508,
3088,3,Monforte del Cid,monforte-del-cid,Alicante/Alacant,Comunidad Valenciana,-0.7283354,38.3788429,
3089,3,Monóvar/Monòver,monovar-monover,Alicante/Alacant,Comunidad Valenciana,-0.840116,38.4359831,
3903,3,"Montesinos, Los",montesinos-los,Alicante/Alacant,Comunidad Valenciana,-0.4764073,38.368405,
3091,3,Murla,murla,Alicante/Alacant,Comunidad Valenciana,-0.0819771,38.7606763,
3092,3,Muro de Alcoy,muro-de-alcoy,Alicante/Alacant,Comunidad Valenciana,-0.4372114,38.7805406,
3090,3,Mutxamel,mutxamel,Alicante/Alacant,Comunidad Valenciana,-0.4470839,38.4196718,
3093,3,Novelda,novelda,Alicante/Alacant,Comunidad Valenciana,-0.7668469,38.3841032,
3094,3,"Nucia, la",nucia-la,Alicante/Alacant,Comunidad Valenciana,-0.5002803,38.3620331,
3095,3,Ondara,ondara,Alicante/Alacant,Comunidad Valenciana,0.0198218,38.8244658,
3096,3,Onil,onil,Alicante/Alacant,Comunidad Valenciana,-0.6737468,38.6287655,
3097,3,Orba,orba,Alicante/Alacant,Comunidad Valenciana,-0.0618313,38.7799875,
3099,3,Orihuela,orihuela,Alicante/Alacant,Comunidad Valenciana,-0.9480051,38.0855528,
3098,3,Orxeta,orxeta,Alicante/Alacant,Comunidad Valenciana,-0.262591,38.5628423,
3100,3,Parcent,parcent,Alicante/Alacant,Comunidad Valenciana,-0.065918,38.7453086,
3101,3,Pedreguer,pedreguer,Alicante/Alacant,Comunidad Valenciana,0.0338198,38.7930797,
3102,3,Pego,pego,Alicante/Alacant,Comunidad Valenciana,-0.1156439,38.8429394,
3103,3,Penàguila,penaguila,Alicante/Alacant,Comunidad Valenciana,-0.3595393,38.6797065,
3104,3,Petrer,petrer,Alicante/Alacant,Comunidad Valenciana,-0.7719244,38.4807948,
3902,3,Pilar de la Horadada,pilar-de-la-horadada,Alicante/Alacant,Comunidad Valenciana,-0.7901334,37.8631809,
3105,3,"Pinós, el/Pinoso",pinos-el-pinoso,Alicante/Alacant,Comunidad Valenciana,-1.0411107,38.4035164,
3106,3,Planes,planes,Alicante/Alacant,Comunidad Valenciana,-0.3399066,38.7830604,
3901,3,"Poblets, els",poblets-els,Alicante/Alacant,Comunidad Valenciana,0.0172741,38.854788,
3107,3,Polop,polop,Alicante/Alacant,Comunidad Valenciana,-0.127222,38.622222,
3060,3,Quatretondeta,quatretondeta,Alicante/Alacant,Comunidad Valenciana,-0.3163224,38.7236278,
3109,3,Rafal,rafal,Alicante/Alacant,Comunidad Valenciana,-0.8499524,38.1032847,
3110,3,"Ràfol d'Almúnia, el",rafol-d-almunia-el,Alicante/Alacant,Comunidad Valenciana,-0.0528992,38.8204311,
3111,3,Redován,redovan,Alicante/Alacant,Comunidad Valenciana,-0.906855,38.1138573,
